ID,Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),IC (Total),IC (Bulk),Space group,Space group #,a,b,c,alpha,beta,gamma,Family,DOI,Checked,Ref,Cif ID,Cif ref_1,Cif ref_2,note,close match,close match DOI,ICSD ID,Laskowski ID,Liion ID,split,ic_reported,ic_is_upper_limit,ic_limit,ic_half_limit,ic_exclude,log10_ic_limit,log10_ic_half_limit,log10_ic_exclude,kernel_split
c6e,Li6P(S4.2Se0.8)Br,4,Li24.0P4.0S16.8Se3.2Br4.0,0.00348,,,F-43m,216,10.0332,10.0332,10.0332,90.0,90.0,90.0,argyrodites,10.1021/acs.inorgchem.8b02443,1,D2 - 172,done,ICSD ,,,,,267201.0,172.0,,train,0.00348,False,0.00348,0.00348,0.00348,-2.4584207560534193,-2.4584207560534193,-2.4584207560534193,train
cdk,Li2(PO2N),4,Li8.0P4.0O8.0N4.0,<1E-10,,,Cmc21,36,9.0692,5.3999,4.6856,90.0,90.0,90.0,LIPON,10.1016/j.ssi.2012.12.013,1,D2 - 57,done,188493-ICSD,,,,,188493.0,57.0,,train,1e-10,True,1e-10,5e-11,,-10.0,-10.301029995663981,,train
cju,Li6P(S4.6Se0.4)Br,4,Li24.0P4.0S18.4Se1.6Br4.0,0.00364,,,F-43m,216,10.0079,10.0079,10.0079,90.0,90.0,90.0,argyrodites,10.1021/acs.inorgchem.8b02443,1,D2 - 172,done,ICSD ,,,,,267197.0,172.0,,train,0.00364,False,0.00364,0.00364,0.00364,-2.438898616350944,-2.438898616350944,-2.438898616350944,train
clt,Li6CuB4O10,1,Li6.0Cu1.0B4.0O10.0,1e-13,,,P -1,2,3.31218,6.68272,9.27858,78.8443,89.7596,86.6143,copper pyroborate,10.1021/acs.inorgchem.8b01785,1,D2 - 10,done,4819-ICSD,,,,,4819.0,10.0,,train,1e-13,False,1e-13,1e-13,1e-13,-13.0,-13.0,-13.0,train
d7f,Li3BiO4,4,Li12.0Bi4.0O16.0,4.1e-10,,,P42/mnm,136,8.75298,8.75298,4.22469,90.0,90.0,90.0,oxides,10.1016/j.ssi.2015.10.016,1,D2 - 30,done,,,,Yes,ICSD-109087,109087.0,30.0,,train,4.1e-10,False,4.1e-10,4.1e-10,4.1e-10,-9.387216143280265,-9.387216143280265,-9.387216143280265,train
d9l,Li6P(S4.5Se0.5)Br,4,Li24.0P4.0S18.0Se2.0Br4.0,0.00268,,,F-43m,216,10.0176,10.0176,10.0176,90.0,90.0,90.0,argyrodites,10.1021/acs.inorgchem.8b02443,1,D2 - 172,done,ICSD ,,,,,267198.0,172.0,,train,0.00268,False,0.00268,0.00268,0.00268,-2.571865205971211,-2.571865205971211,-2.571865205971211,train
dae,Li6.10La3Ta1.45Sm0.55O12,8,Li48.8La24.0Ta11.6Sm4.4O96.0,1.4e-05,,,Ia-3d ,230,12.8525,12.8525,12.8525,90.0,90.0,90.0,garnet,10.1021/acs.inorgchem.7b00816,1,D2 - 231,done,ICSD ,,,,,259169.0,231.0,,train,1.4e-05,False,1.4e-05,1.4e-05,1.4e-05,-4.853871964321762,-4.853871964321762,-4.853871964321762,train
dc8,Li9Mg3(PO4)4F3,2,Li18.0Mg6.0P8.0O32.0F6.0,<1E-10,,,P63,173,12.6159,12.6159,5.0082,90.0,90.0,120.0,fluorophosphates,10.1039/c3ta15264b,1,D2 - 148,done,appendix; ICSD,downloaded,,,,,148.0,,train,1e-10,True,1e-10,5e-11,,-10.0,-10.301029995663981,,train
deu,Li4.4Al0.4Ge0.6S4,2,Li8.8Al0.8Ge1.2S8.0,4.3e-05,,,P-3m1,164,7.9496,7.9496,6.1566,90.0,90.0,120.0,sulfides,10.1021/acs.chemmater.8b03175,1,D2 - 130,done,appendix,,,,,,130.0,,train,4.3e-05,False,4.3e-05,4.3e-05,4.3e-05,-4.366531544420414,-4.366531544420414,-4.366531544420414,train
dlj,Li6P(S4Se)Br,4,Li24.0P4.0S16.0Se4.0Br4.0,0.00361,,,F-43m,216,10.0522,10.0522,10.0522,90.0,90.0,90.0,argyrodites,10.1021/acs.inorgchem.8b02443,1,D2 - 172,done,ICSD ,,,,,267203.0,172.0,,train,0.00361,False,0.00361,0.00361,0.00361,-2.4424927980943423,-2.4424927980943423,-2.4424927980943423,train
dth,Li4GeO4,4,Li16.0Ge4.0O16.0,1.3e-12,,,Cmcm,63,7.7661,7.3645,6.0555,90.0,90.0,90.0,LISICON,10.1021/acs.chemmater.8b01504,1,D1- 541,done,,,,Yes,10.1002/zaac.19875551213,65177.0,,457.0,train,1.3e-12,False,1.3e-12,1.3e-12,1.3e-12,-11.886056647693163,-11.886056647693163,-11.886056647693163,train
dvn,Li2MgCl4,8,Li16.0Mg8.0Cl32.0,6.24e-07,,,Fd-3m,227,10.416,10.416,10.416,90.0,90.0,90.0,chlorides,10.1016/0167-2738(83)90223-0,1,D2 - 166,done,ICSD not the same paper,,,Yes,10.1002/zaac.19946200505,74957.0,166.0,,train,6.24e-07,False,6.24e-07,6.24e-07,6.24e-07,-6.204815410317576,-6.204815410317576,-6.204815410317576,train
e6a,Li6.7La3Zr1.7Ta0.3O12,8,Li53.6La24.0Zr13.6Ta2.4O96.0,0.00069,0.00069,0.00096,Ia-3d ,230,12.9721,12.9721,12.9721,90.0,90.0,90.0,garnet,10.1149/2.024205esl,1,D2 - 206,done,,,,Yes,10.1021/acsaem.1c03632,48784.0,206.0,,train,0.00069,False,0.00069,0.00069,0.00069,-3.161150909262745,-3.161150909262745,-3.161150909262745,train
e81,Li1.1SrTa1.9Zr0.1O6F,8,Li8.8Sr8.0Ta15.2Zr0.8O48.0F8.0,<1E-10,,,Fd-3m,227,10.46992,10.46992,10.46992,90.0,90.0,90.0,pyrochlore,10.2497/jjspm.65.26,1,D2 - 200,done,ICSD ,,,,,236014.0,200.0,,train,1e-10,True,1e-10,5e-11,,-10.0,-10.301029995663981,,train
ek5,LiSrNb2O6F,8,Li8.0Sr8.0Nb16.0O48.0F8.0,<1E-10,,,Fd-3m,227,10.48371,10.48371,10.48371,90.0,90.0,90.0,pyrochlore,10.2497/jjspm.65.26,1,D2 - 200,done,ICSD ,,,,,236009.0,200.0,,train,1e-10,True,1e-10,5e-11,,-10.0,-10.301029995663981,,train
fft,Li3N,2,Li6.0N2.0,0.0002085,,,P63/mmc,194,3.552,3.552,6.311,90.0,90.0,120.0,nitrides,10.1016/0167-2738(83)90045-0,1,D2 - 155,done,ICSD not the same paper,,,,,63201.0,155.0,,train,0.0002085,False,0.0002085,0.0002085,0.0002085,-3.6808939406902237,-3.6808939406902237,-3.6808939406902237,train
fj5,Li6.5O8P1.5Si0.5,2,Li13.0O16.0P3.0Si1.0,4.49e-07,,,Pnma,62,10.52587,6.11525,4.97031,90.0,90.0,90.0,LISICON,10.1021/jacs.5b04444,1,D2 - 16,done,238600-ICSD; appendix,,partial occupancy corrected,,,238600.0,16.0,,train,4.49e-07,False,4.49e-07,4.49e-07,4.49e-07,-6.347753658996677,-6.347753658996677,-6.347753658996677,train
fkj,Li6.5P0.5Si0.5S5Br,4,Li26.0P2.0Si2.0S20.0Br4.0,0.00219,,,F-43m,216,10.0521,10.0521,10.0521,90.0,90.0,90.0,argyrodites,10.1039/c7ta08581h,1,D2 - 168,done,appendix; ICSD,,,,,234597.0,168.0,,train,0.00219,False,0.00219,0.00219,0.00219,-2.6595558851598815,-2.6595558851598815,-2.6595558851598815,train
fwz,Li2SiS3,4,Li8.0Si4.0S12.0,2e-06,,,Cmc21,36,6.735,11.664,5.926,90.0,90.0,90.0,thio-LISICON,10.1016/0025-5408(89)90053-6,1,D1 - 764; D2 - 15,done,,,appendix: diffraction data available,Yes,mp-1210789,,,635.0,train,2e-06,False,2e-06,2e-06,2e-06,-5.698970004336019,-5.698970004336019,-5.698970004336019,train
gcj,Li6(La2Ca)(NbO6)2,8,Li48.0La16.0Ca8.0Nb16.0O96.0,1.33e-06,,,Ia-3d ,230,12.72185,12.72185,12.72185,90.0,90.0,90.0,garnet,10.1016/j.ssi.2008.01.047,1,D2 - 217; D1 - 890,done,ICSD ,,,,,161386.0,217.0,,train,1.33e-06,False,1.33e-06,1.33e-06,1.33e-06,-5.876148359032914,-5.876148359032914,-5.876148359032914,train
gkl,Li5La3Nb2O12,8,Li40.0La24.0Nb16.0O96.0,5.08e-06,,,Ia-3d ,230,12.718,12.718,12.718,90.0,90.0,90.0,garnet,10.1016/j.jpowsour.2011.05.031,1,D2 - 233,done,,,ic # incorrect,Yes,10.1039/b514640b,171171.0,233.0,,train,5.08e-06,False,5.08e-06,5.08e-06,5.08e-06,-5.294136287716081,-5.294136287716081,-5.294136287716081,train
goi,LiClC3H7NO,4,Li4.0Cl4.0C12.0H28.0N4.0O4.0,0.00016,,,P21/c,14,5.839,6.39,15.961,90.0,98.826,90.0,Unknown,10.1021/acs.chemmater.5b00940,1,D2 - 35,done,CCDC 969064,appendix,,,,,35.0,,train,0.00016,False,0.00016,0.00016,0.00016,-3.795880017344075,-3.795880017344075,-3.795880017344075,train
gvd,Li3N,1,Li3.0N1.0,0.0005767,,,P6/mmm ,191,3.648,3.648,3.875,90.0,90.0,120.0,nitrides,10.1039/c0ee00052c,1,D2 - 154,done,ICSD not the same paper,,,,,34280.0,154.0,,train,0.0005767,False,0.0005767,0.0005767,0.0005767,-3.2390500485891027,-3.2390500485891027,-3.2390500485891027,train
gw2,Li1.4Al0.4Ge1.6(PO4)3,6,Li8.4Al2.4Ge9.6P18.0O72.0,0.000188,,,R-3c,167,8.25565,8.25565,20.6319,90.0,90.0,120.0,NASICON,10.1021/acsami.8b00842,1,D2 - 133,done,263762-ICSD,downloaded,,,,263762.0,133.0,,train,0.000188,False,0.000188,0.000188,0.000188,-3.72584215073632,-3.72584215073632,-3.72584215073632,train
gxz,Li4Zn(PO4)2,2,Li8.0Zn2.0P4.0O16.0,<1E-10,,,Pnma,62,10.2974,6.5021,5.0011,90.0,90.0,90.0,phosphates,10.1021/acs.chemmater.7b05139,1,D2 - 38,done,,,"should be deleted, high T structure, refer the alpha phase",,,255465.0,38.0,,train,1e-10,True,1e-10,5e-11,,-10.0,-10.301029995663981,,train
gz8,Li5La3Ta2O12,8,Li40.0La24.0Ta16.0O96.0,1.59e-05,,,Ia-3d ,230,12.8176,12.8176,12.8176,90.0,90.0,90.0,garnet,10.1021/acs.inorgchem.7b00816,1,D2 - 231,done,ICSD ,,,,,259164.0,231.0,,train,1.59e-05,False,1.59e-05,1.59e-05,1.59e-05,-4.798602875679548,-4.798602875679548,-4.798602875679548,train
h6c,Li3VO4,2,Li6.0V2.0O8.0,9.2e-14,,,Pmn21,31,6.3278,5.4448,4.9467,90.0,90.0,90.0,LISICON,10.1021/acs.chemmater.8b01504,1,D1 - 541,done,,,,Yes,10.1016/S0022-4596(73)80012-X,19002.0,,446.0,train,9.2e-14,False,9.2e-14,9.2e-14,9.2e-14,-13.036212172654444,-13.036212172654444,-13.036212172654444,train
h7r,Li(Ti1.4Sn0.6)(PO4)3,6,Li6.0Ti8.4Sn3.6P18.0O72.0,2.28e-05,,,R-3c,167,8.5491,8.5491,21.0473,90.0,90.0,120.0,NASICON,10.1016/j.physb.2011.11.006,1,D2 - 135,done,183672-ICSD,,partial occupancy corrected,,,183672.0,135.0,,train,2.28e-05,False,2.28e-05,2.28e-05,2.28e-05,-4.642065152999546,-4.642065152999546,-4.642065152999546,train
h82,Li6PS5Br0.25I0.75,4,Li24.0P4.0S20.0Br1.0I3.0,4.72e-06,,,F-43m,216,10.1108,10.1108,10.1108,90.0,90.0,90.0,argyrodites,10.1021/jacs.7b06327,1,D2 - 167,done,ICSD ,,,,,259211.0,167.0,,train,4.72e-06,False,4.72e-06,4.72e-06,4.72e-06,-5.3260580013659125,-5.3260580013659125,-5.3260580013659125,train
h89,Li6BaLa2Ta2O12,8,Li48.0Ba8.0La16.0Ta16.0O96.0,1.5e-05,,,Ia-3d ,230,12.99726,12.99726,12.99726,90.0,90.0,90.0,garnet,10.1021/am4060194,1,D2 - 226,done,ICSD ,,,,,237201.0,226.0,,train,1.5e-05,False,1.5e-05,1.5e-05,1.5e-05,-4.823908740944319,-4.823908740944319,-4.823908740944319,train
hai,Pb6.12Ca1.9Li1.96(PO4)6,1,Pb6.12Ca1.9Li1.96P6.0O24.0,<1E-10,,,P63/m ,176,9.679,9.679,7.113,90.0,90.0,120.0,phosphates,10.1006/jssc.2002.9596,1,D2 - 149,done,59615-ICSD ,,,,,59615.0,149.0,,train,1e-10,True,1e-10,5e-11,,-10.0,-10.301029995663981,,train
hbz,Li6P(S4.8Se0.2)Br,4,Li24.0P4.0S19.2Se0.8Br4.0,0.00392,,,F-43m,216,9.9946,9.9946,9.9946,90.0,90.0,90.0,argyrodites,10.1021/acs.inorgchem.8b02443,1,D2 - 172,done,ICSD ,,,,,267195.0,172.0,,train,0.00392,False,0.00392,0.00392,0.00392,-2.406713932979543,-2.406713932979543,-2.406713932979543,train
hcm,Li5La3Ta2O12,8,Li40.0La24.0Ta16.0O96.0,3.4e-05,3.4e-05,0.00016,Ia-3d ,230,12.8311,12.8311,12.8311,90.0,90.0,90.0,garnet,10.1149/2.024205esl,1,D2 - 206,done,,,,Yes,10.1016/0167-577X(88)90011-0,68252.0,206.0,,train,3.4e-05,False,3.4e-05,3.4e-05,3.4e-05,-4.468521082957745,-4.468521082957745,-4.468521082957745,train
hja,(Li0.5Ce0.25Pr0.25)(MoO4),4,Li2.0Ce1.0Pr1.0Mo4.0O16.0,1e-09,,,I41/a ,88,5.284,5.284,11.5763,90.0,90.0,90.0,molybdates,10.1007/s12039-011-0068-5,1,D2 - 91,done,186451-ICSD,,partial occupancy corrected,,,186451.0,91.0,,train,1e-09,False,1e-09,1e-09,1e-09,-9.0,-9.0,-9.0,train
i12,Li2CoTi3O8,4,Li8.0Co4.0Ti12.0O32.0,<1E-10,,,P4332,212,8.3766,8.3766,8.3766,90.0,90.0,90.0,oxides,10.1039/a800234g,1,D2 - 163,done,ICSD ,,,,,86166.0,163.0,,train,1e-10,True,1e-10,5e-11,,-10.0,-10.301029995663981,,train
ia5,LiLaNb2O7,2,Li2.0La2.0Nb4.0O14.0,<1E-8,,,I4/mmm,139,3.8798,3.8798,20.3597,90.0,90.0,90.0,perovskites,10.1016/0925-8388(93)90192-p,1,D2 - 114,done,72566-ICSD,,,,,72566.0,114.0,,train,1e-08,True,1e-08,5e-09,,-8.0,-8.301029995663981,,train
iiy,Li6.2P0.8Si0.2S5Br,4,Li24.8P3.2Si0.8S20.0Br4.0,0.00169,,,F-43m,216,10.024,10.024,10.024,90.0,90.0,90.0,argyrodites,10.1039/c7ta08581h,1,D2 - 168,done,appendix; ICSD,,,,,234592.0,168.0,,train,0.00169,False,0.00169,0.00169,0.00169,-2.7721132953863266,-2.7721132953863266,-2.7721132953863266,train
ij5,Li6PS5Cl0.5Br0.5,4,Li24.0P4.0S20.0Cl2.0Br2.0,0.00333,,,F-43m,216,9.952,9.952,9.952,90.0,90.0,90.0,argyrodites,10.1021/jacs.7b06327,1,D2 - 167,done,ICSD ,,,,,259201.0,167.0,,train,0.00333,False,0.00333,0.00333,0.00333,-2.4775557664936803,-2.4775557664936803,-2.4775557664936803,train
ik8,Li10(Ge0.416Sn0.584)P2S12,2,Li20.0Ge0.83Sn1.17P4.0S24.0,0.00743,,,P42/nmc ,137,8.72902,8.72902,12.7065,90.0,90.0,90.0,LGPS,10.1021/acs.chemmater.8b00266,1,D2 - 108,done,appendix,,,,,,108.0,,train,0.00743,False,0.00743,0.00743,0.00743,-2.1290111862394245,-2.1290111862394245,-2.1290111862394245,train
iqt,Li1.4Al0.4Ti1.6(PO4)3,6,Li8.4Al2.4Ti9.6P18.0O72.0,0.000388,,,R-3c,167,8.4955,8.4955,20.7992,90.0,90.0,120.0,NASICON,10.1149/1.2086597,1,D2 - 134,done,,,,Yes,10.1016/j.ssi.2019.115192,19904.0,134.0,,train,0.000388,False,0.000388,0.000388,0.000388,-3.4111682744057927,-3.4111682744057927,-3.4111682744057927,train
ish,Li6.175P0.825Si0.175S5Br,4,Li24.7P3.3Si0.7S20.0Br4.0,0.000931,,,F-43m,216,10.0193,10.0193,10.0193,90.0,90.0,90.0,argyrodites,10.1039/c7ta08581h,1,D2 - 168,done,appendix; ICSD,,,,,234591.0,168.0,,train,0.000931,False,0.000931,0.000931,0.000931,-3.0310503190186573,-3.0310503190186573,-3.0310503190186573,train
ix1,Li0.91Hf2.022(PO4)3,6,Li5.46Hf12.13P18.0O72.0,3.2e-07,,,R-3c,167,8.8306,8.8306,22.027,90.0,90.0,120.0,NASICON,10.1021/cm970078n,0,D2 - 11,done,83501-ICSD,,true formula: Hf2.032 Li0.87 O12 P3;  partial occupancy corrected,,,83501.0,11.0,,train,3.2e-07,False,3.2e-07,3.2e-07,3.2e-07,-6.494850021680094,-6.494850021680094,-6.494850021680094,train
j8q,Li10GeP2S12,2,Li20.0Ge2.0P4.0S24.0,0.0121,,,P42/nmc ,137,8.719,8.719,12.639,90.0,90.0,90.0,LGPS,10.1039/c4ta05231e|10.1021/acs.chemmater.7b00886,1,D2 - 104,done,,,,Yes,10.1039/c3cp51985f,188887.0,111.0,,train,0.0121,False,0.0121,0.0121,0.0121,-1.91721462968355,-1.91721462968355,-1.91721462968355,train
jkq,(Li0.55Mg0.45)(Li0.445Mg0.055)Ti1.5O4,8,Li7.96Mg4.04Ti12.0O32.0,1.53e-11,,,P4332,212,8.3806,8.3806,8.3806,90.0,90.0,90.0,oxides,10.1016/j.ssi.2010.06.003,1,D2 - 164,done,ICSD ,,,,,168145.0,164.0,,train,1.53e-11,False,1.53e-11,1.53e-11,1.53e-11,-10.8153085691824,-10.8153085691824,-10.8153085691824,train
jl4,(Li0.61Mg0.39)(Li0.46Mg0.005Ti0.035)Ti1.5O4,8,Li8.56Mg3.16Ti12.28O32.0,6.56e-10,,,P4332,212,8.3792,8.3792,8.3792,90.0,90.0,90.0,oxides,10.1016/j.ssi.2010.06.003,1,D2 - 164,done,ICSD ,,,,,168144.0,164.0,,train,6.56e-10,False,6.56e-10,6.56e-10,6.56e-10,-9.18309616062434,-9.18309616062434,-9.18309616062434,train
joc,Li3PS4,2,Li6.0P2.0S8.0,2.6e-07,,,Pmn21,31,7.70829,6.53521,6.1365,90.0,90.0,90.0,thio-LISICON,10.1021/ja3110895,1,D2 - 52,done,180318-ICSD,,,,,180318.0,52.0,,train,2.6e-07,False,2.6e-07,2.6e-07,2.6e-07,-6.585026652029182,-6.585026652029182,-6.585026652029182,train
jqc,Li7BiO6,1,Li7.0Bi1.0O6.0,1.58489e-06,,,P -1,2,5.5071,6.0425,5.5231,116.912,120.867,62.234,hexaoxometalates,10.1002/zaac.200500231,1,D2 - 3,done,155950-ICSD,,partial occupancy not correct,,,155950.0,3.0,,train,1.58489e-06,False,1.58489e-06,1.58489e-06,1.58489e-06,-5.800000874803203,-5.800000874803203,-5.800000874803203,train
k4x,Li10.35Si1.35P1.65S12,2,Li20.7Si2.7P3.3S24.0,0.0065,,,P42/nmc ,137,8.68385,8.68385,12.55589,90.0,90.0,90.0,LGPS,10.1107/s2052520615022283,1,D2 - 109,done,252037-ICSD,,,,,252037.0,109.0,608.0,train,0.0065,False,0.0065,0.0065,0.0065,-2.1870866433571443,-2.1870866433571443,-2.1870866433571443,train
ka6,Li5La3Ta2O12,8,Li40.0La24.0Ta16.0O96.0,6.61e-06,6.61e-06,8.31e-06,Ia-3d ,230,12.7814,12.7814,12.7814,90.0,90.0,90.0,garnet,10.1007/s11581-007-0097-8,1,D2 - 201,done,ICSD not the same paper,,lattice parameter double check,Yes,10.1039/C6DT04021G ,259001.0,201.0,,train,6.61e-06,False,6.61e-06,6.61e-06,6.61e-06,-5.179798540514359,-5.179798540514359,-5.179798540514359,train
kab,Li1.3Al0.3Ti1.7(PO4)3,6,Li7.8Al1.8Ti10.2P18.0O72.0,3.75e-05,,,R-3c,167,8.498,8.498,20.896,90.0,90.0,120.0,NASICON,10.1016/S0955-2219(99)00055-2,1,D1 - 401; D1 - 426,done,,,,Yes,10.1021/acs.chemmater.9b04419,141513.0,,401.0,train,3.75e-05,False,3.75e-05,3.75e-05,3.75e-05,-4.425968732272281,-4.425968732272281,-4.425968732272281,train
kbo,Li2Sr2Al(PO4)3,4,Li8.0Sr8.0Al4.0P12.0O48.0,<1E-10,,,P21/c,14,4.945,22.088,8.632,90.0,91.47,90.0,NASICON,10.1016/j.jssc.2016.08.006,1,D2 - 40,done,CCDC 1790590,,,,,,40.0,,train,1e-10,True,1e-10,5e-11,,-10.0,-10.301029995663981,,train
kbq,Li5La3Bi2O12,8,Li40.0La24.0Bi16.0O96.0,1.9e-05,1.9e-05,4e-05,Ia-3d ,230,13.0652,13.0652,13.0652,90.0,90.0,90.0,garnet,10.1016/j.mseb.2007.07.009,1,D2 - 213,done,ICSD ,,,,,158372.0,213.0,,train,1.9e-05,False,1.9e-05,1.9e-05,1.9e-05,-4.721246399047171,-4.721246399047171,-4.721246399047171,train
kbu,Li5.70La3Ta1.65Sm0.35O12,8,Li45.6La24.0Ta13.2Sm2.8O96.0,2.15e-05,,,Ia-3d ,230,12.8309,12.8309,12.8309,90.0,90.0,90.0,garnet,10.1021/acs.inorgchem.7b00816,1,D2 - 231,done,ICSD ,,,,,259167.0,231.0,,train,2.15e-05,False,2.15e-05,2.15e-05,2.15e-05,-4.667561540084395,-4.667561540084395,-4.667561540084395,train
kfp,Li2BaP2O7,8,Li16.0Ba8.0P16.0O56.0,1.59881e-17,,,C2/c,15,7.147,12.283,14.016,90.0,90.49,90.0,pyrophosphate,10.1007/s11581-014-1261-6,1,D2 - 45,done,280927-ICSD,,,,,280927.0,45.0,,train,1.59881e-17,False,1.59881e-17,1.59881e-17,1.59881e-17,-16.796203144042632,-16.796203144042632,-16.796203144042632,train
kgl,Li6PS5Cl0.75Br0.25,4,Li24.0P4.0S20.0Cl3.0Br1.0,0.00226,,,F-43m,216,9.8911,9.8911,9.8911,90.0,90.0,90.0,argyrodites,10.1021/jacs.7b06327,1,D2 - 167,done,ICSD ,,,,,259206.0,167.0,,train,0.00226,False,0.00226,0.00226,0.00226,-2.6458915608525992,-2.6458915608525992,-2.6458915608525992,train
kkn,Li6NBr3,4,Li24.0N4.0Br12.0,1e-08,,,Fm-3m,225,8.9334,8.9334,8.9334,90.0,90.0,90.0,halides,10.1016/j.jallcom.2015.01.082,1,D2 - 196,done,,,,Yes,10.1016/S0925-8388(97)00158-8,84090.0,196.0,,train,1e-08,False,1e-08,1e-08,1e-08,-8.0,-8.0,-8.0,train
kko,Li10SnP2S12,2,Li20.0Sn2.0P4.0S24.0,0.0038,,,P42/nmcZ,137,8.7297,8.7297,12.7428,90.0,90.0,90.0,Unknown,10.1021/jacs.0c10735,1,,done,ICSD-30173,,,,,30173.0,,,train,0.0038,False,0.0038,0.0038,0.0038,-2.42021640338319,-2.42021640338319,-2.42021640338319,train
kmv,Li4SnS4,4,Li16.0Sn4.0S16.0,7e-05,,,Pnma,62,13.812,7.9624,6.367,90.0,90.0,90.0,Chalcogenidotetrelates,10.1021/cm3011315,1,D2 - 80,done,appendix,,,,,,80.0,658.0,train,7e-05,False,7e-05,7e-05,7e-05,-4.154901959985743,-4.154901959985743,-4.154901959985743,train
kop,Li10Ge0.66Sn0.33P2S12,2,Li20.0Ge1.32Sn0.66P4.0S24.0,0.0064,,,P42/nmcZ,137,8.7068,8.7068,12.6394,90.0,90.0,90.0,Unknown,10.1021/jacs.0c10735,1,,done,ICSD-30165,,,,,30165.0,,,train,0.0064,False,0.0064,0.0064,0.0064,-2.193820026016113,-2.193820026016113,-2.193820026016113,train
l9r,Li6CaLa2Ta2O12,8,Li48.0Ca8.0La16.0Ta16.0O96.0,2.2e-06,,,Ia-3d ,230,12.70877,12.70877,12.70877,90.0,90.0,90.0,garnet,10.1021/am4060194,1,D2 - 226,done,ICSD ,,,,,237202.0,226.0,,train,2.2e-06,False,2.2e-06,2.2e-06,2.2e-06,-5.657577319177793,-5.657577319177793,-5.657577319177793,train
l9v,Li3AlF6,12,Li36.0Al12.0F72.0,5e-07,,,C2/c,15,14.201,8.387,9.861,90.0,94.07,90.0,fluorides,10.1149/2.012206eel,1,D2 - 42,done,85171-ICSD,,Ball milled conducvitity; structure may be different ,,,85171.0,42.0,,train,5e-07,False,5e-07,5e-07,5e-07,-6.301029995663981,-6.301029995663981,-6.301029995663981,train
lap,Li1.3Al0.3Ti1.7(PO4)3,6,Li7.8Al1.8Ti10.2P18.0O72.0,0.00113,,,R-3c,167,8.5012,8.5012,20.8416,90.0,90.0,120.0,NASICON,10.1016/j.ssi.2012.03.045,1,D2 - 144,done,,,,Yes,10.1021/acs.chemmater.9b04419,141519.0,144.0,,train,0.00113,False,0.00113,0.00113,0.00113,-2.9469215565165805,-2.9469215565165805,-2.9469215565165805,train
ldx,LiGe2(PO4)3,6,Li6.0Ge12.0P18.0O72.0,4.83e-09,,,R-3c,167,8.27059,8.27059,20.4652,90.0,90.0,120.0,NASICON,10.1021/acsami.8b00842,1,D2 - 133,done,263767-ICSD,downloaded,,,,263767.0,133.0,,train,4.83e-09,False,4.83e-09,4.83e-09,4.83e-09,-8.316052869248487,-8.316052869248487,-8.316052869248487,train
lkm,Li6Ge2O7,4,Li24.0Ge8.0O28.0,8.5e-07,,,P21/c,14,8.071,5.304,14.223,90.0,92.9,90.0,Unknown,10.4028/www.scientific.net/msf.76.107,1,D2 - 31,done,31050-ICSD,,,,,31050.0,31.0,,train,8.5e-07,False,8.5e-07,8.5e-07,8.5e-07,-6.070581074285707,-6.070581074285707,-6.070581074285707,train
lol,Li4PS4I,2,Li8.0P2.0S8.0I2.0,0.00012,,,P4/nmm ,129,8.48284,8.48284,5.93013,90.0,90.0,90.0,thio-LISICON,10.1021/acs.chemmater.7b00013,1,D2 - 101,done,,,appendix: diffraction data available,,,432169.0,101.0,,train,0.00012,False,0.00012,0.00012,0.00012,-3.9208187539523753,-3.9208187539523753,-3.9208187539523753,train
lpx,Li1.15Y0.15Zr1.85(PO4)3,6,Li6.9Y0.9Zr11.1P18.0O72.0,7.1e-05,7.1e-05,0.00014,R-3c,167,8.8727,8.8727,22.1578,90.0,90.0,120.0,NASICON,10.1016/j.jpowsour.2013.03.175,1,D2 - 136; D1 - 390,done,1700808.cif,,bulk ic (total ic 7.10E-05),,,191891.0,136.0,319.0,train,7.1e-05,False,7.1e-05,7.1e-05,7.1e-05,-4.1487416512809245,-4.1487416512809245,-4.1487416512809245,train
lrh,Li2.5V2(PO4)3,4,Li10.0V8.0P12.0O48.0,1.9e-07,,,P21/c,14,8.45678,8.62076,11.89577,90.0,90.2366,90.0,NASICON,10.1021/cm034802f,1,D2 - 37,done,240268-ICSD,,,,,240268.0,37.0,,train,1.9e-07,False,1.9e-07,1.9e-07,1.9e-07,-6.721246399047171,-6.721246399047171,-6.721246399047171,train
lxk,Li6.7P0.3Ge0.7S5I,4,Li26.8P1.2Ge2.8S20.0I4.0,0.00554,,,F-43m,216,10.2851,10.2851,10.2851,90.0,90.0,90.0,argyrodites,10.1021/jacs.8b10282,1,D2 - 175,done,,,appendix: diffraction data available,,,,175.0,,train,0.00554,False,0.00554,0.00554,0.00554,-2.25649023527157,-2.25649023527157,-2.25649023527157,train
m0v,Li(Li0.34Ti1.66)O4,8,Li10.72Ti13.28O32.0,6.03e-08,,,Fd-3m,227,8.362,8.362,8.362,90.0,90.0,90.0,oxides,10.1016/j.ssi.2010.06.003,1,D2 - 164,done,ICSD ,,,,,168137.0,164.0,,train,6.03e-08,False,6.03e-08,6.03e-08,6.03e-08,-7.219682687859849,-7.219682687859849,-7.219682687859849,train
