ID,Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),IC (Total),IC (Bulk),Space group,Space group #,a,b,c,alpha,beta,gamma,Family,DOI,Checked,Ref,Cif ID,Cif ref_1,Cif ref_2,note,close match,close match DOI,ICSD ID,Laskowski ID,Liion ID,split,ic_reported,ic_is_upper_limit,ic_comparator,ic_limit,ic_half_limit,ic_exclude,log10_ic_limit,log10_ic_half_limit,log10_ic_exclude
9z8,Li2InZr(PO4)3,8,Li16.0In8.0Zr8.0P24.0O96.0,8.22e-08,,,Pbca,61,8.761,8.979,24.2,90.0,90.0,90.0,NASICON,10.1016/s0167-2738(96)00565-6,1,D1 - 407,not available,,,,,,,,340.0,train,8.22e-08,False,,8.22e-08,8.22e-08,8.22e-08,-7.0851281824599495,-7.0851281824599495,-7.0851281824599495
nhq,Li3PS4,4,Li12.0P4.0S16.0,8.93e-07,,,Pnma,62,13.066,8.015,6.101,90.0,90.0,90.0,thio-LISICON,10.1021/ja3110895,1,D2 - 52,done,180319-ICSD,,lattice parameters not matching cif,,,180319.0,52.0,,train,8.93e-07,False,,8.93e-07,8.93e-07,8.93e-07,-6.049148541111453,-6.049148541111453,-6.049148541111453
w7d,Li3PO4,4,Li12.0P4.0O16.0,4.2e-18,,,Pnma,62,6.1113,10.4612,4.9208,90.0,90.0,90.0,LISICON,10.1006/jssc.1995.1140,1,D2 - 70,done,79427-ICSD,,,Yes,,79427.0,70.0,,train,4.2e-18,False,,4.2e-18,4.2e-18,4.2e-18,-17.3767507096021,-17.3767507096021,-17.3767507096021
fj5,Li6.5O8P1.5Si0.5,2,Li13.0O16.0P3.0Si1.0,4.49e-07,,,Pnma,62,10.52587,6.11525,4.97031,90.0,90.0,90.0,LISICON,10.1021/jacs.5b04444,1,D2 - 16,done,238600-ICSD; appendix,,partial occupancy corrected,,,238600.0,16.0,,train,4.49e-07,False,,4.49e-07,4.49e-07,4.49e-07,-6.347753658996677,-6.347753658996677,-6.347753658996677
gxz,Li4Zn(PO4)2,2,Li8.0Zn2.0P4.0O16.0,<1E-10,,,Pnma,62,10.2974,6.5021,5.0011,90.0,90.0,90.0,phosphates,10.1021/acs.chemmater.7b05139,1,D2 - 38,done,,,"should be deleted, high T structure, refer the alpha phase",,,255465.0,38.0,,train,1e-10,True,<,1e-10,5e-11,,-10.0,-10.301029995663981,
tbu,Li3.5Zn0.5Ga0.5(PO4)2,2,Li7.0Zn1.0Ga1.0P4.0O16.0,<1E-10,,,Pnma,62,10.08925,6.5108,4.935878,90.0,90.0,90.0,phosphates,10.1021/acs.chemmater.7b05139,1,D2 - 38,done,appendix,,,,,,38.0,,train,1e-10,True,<,1e-10,5e-11,,-10.0,-10.301029995663981,
uxo,Li2.88PO3.73N0.14,4,Li11.52P4.0O14.92N0.56,1.4e-13,,,Pnma,62,6.1153,10.469,4.9195,90.0,90.0,90.0,LISICON,10.1006/jssc.1995.1140,0,D2 - 70,done,,,refer 79426-ICSD; po information is missing,,,79426.0,70.0,615.0,train,1.4e-13,False,,1.4e-13,1.4e-13,1.4e-13,-12.853871964321762,-12.853871964321762,-12.853871964321762
e6b,Li4GeS4,4,Li16.0Ge4.0S16.0,2e-07,,,Pnma,62,14.07,7.75,6.15,90.0,90.0,90.0,thio-LISICON,10.1016/s0167-2738(00)00277-0,1,D2 - 71,done,92200-ICSD,,partial occupancy corrected,,,92200.0,71.0,,train,2e-07,False,,2e-07,2e-07,2e-07,-6.698970004336019,-6.698970004336019,-6.698970004336019
pbz,Li3.75Ge0.75V0.25O4,4,Li15.0Ge3.0V1.0O16.0,5.66e-06,,,Pnma,62,10.896,6.2516,5.1571,90.0,90.0,90.0,LISICON,10.1023/a:1026135806929,1,D2 - 73,done,150918-ICSD,,partial occupancy corrected,,,150918.0,73.0,,train,5.66e-06,False,,5.66e-06,5.66e-06,5.66e-06,-5.247183568811729,-5.247183568811729,-5.247183568811729
7ek,Li3.70Ge0.85W0.15O4,4,Li14.8Ge3.4W0.6O16.0,3.8e-05,,,Pnma,62,10.938,6.274,5.1609,90.0,90.0,90.0,LISICON,10.1023/a:1026135806929,1,D2 - 73,done,150920-ICSD,,partial occupancy corrected,,,150920.0,73.0,,train,3.8e-05,False,,3.8e-05,3.8e-05,3.8e-05,-4.42021640338319,-4.42021640338319,-4.42021640338319
86k,Li0.2Ca0.4TaO3,4,Li0.8Ca1.6Ta4.0O12.0,3.53e-09,,,Pnma,62,5.477,7.75,5.479,90.0,90.0,90.0,perovskites,10.1016/j.solidstatesciences.2004.05.006,1,D2 - 74,not available,,,"structure avialble for x=0.15, but no conductivity",,,,74.0,,train,3.53e-09,False,,3.53e-09,3.53e-09,3.53e-09,-8.452225294612177,-8.452225294612177,-8.452225294612177
kmv,Li4SnS4,4,Li16.0Sn4.0S16.0,7e-05,,,Pnma,62,13.812,7.9624,6.367,90.0,90.0,90.0,Chalcogenidotetrelates,10.1021/cm3011315,1,D2 - 80,done,appendix,,,,,,80.0,658.0,train,7e-05,False,,7e-05,7e-05,7e-05,-4.154901959985743,-4.154901959985743,-4.154901959985743
n7a,Li2.5Y0.5Zr0.5Cl6,4,Li10.0Y2.0Zr2.0Cl24.0,0.0014,,,Pnma,62,12.0389,11.1664,6.4069,90.0,90.0,90.0,halides,10.1021/acsenergylett.9b02599,1,D2 - 83,not available,,,Li2.5Er0.5Zr0.5Cl6 is available,,,,83.0,,train,0.0014,False,,0.0014,0.0014,0.0014,-2.853871964321762,-2.853871964321762,-2.853871964321762
i6k,Sm0.52Li0.38TiO2.97,4,Sm2.08Li1.52Ti4.0O11.88,2e-07,,,Pnma,62,5.34,7.619,5.441,90.0,90.0,90.0,perovskites,10.1016/0167-2738(94)90310-7,1,D2 - 62,not available,,,IC number should be read from the graph,,,,62.0,,train,2e-07,False,,2e-07,2e-07,2e-07,-6.698970004336019,-6.698970004336019,-6.698970004336019
x94,Li4SiS4,4,Li16.0Si4.0S16.0,4.93e-08,,,Pnma,62,13.735,7.769,6.147,90.0,90.0,90.0,thio-LISICON,10.1016/0025-5408(89)90053-6,1,D1 - 764; D2 - 15,not available,,,appendix: diffraction data available,,,,,634.0,train,4.93e-08,False,,4.93e-08,4.93e-08,4.93e-08,-7.30715308072277,-7.30715308072277,-7.30715308072277
e6e,Li3.2Ge0.2P0.8O4,4,Li12.8Ge0.8P3.2O16.0,1.14e-06,,,Pnma,62,10.5562,6.1319,4.9769,90.0,90.0,90.0,LISICON,10.1021/acs.chemmater.8b01504,1,D1- 541,not available,,,,,,,,447.0,train,1.14e-06,False,,1.14e-06,1.14e-06,1.14e-06,-5.943095148663527,-5.943095148663527,-5.943095148663527
ylh,Li3.2Ge0.2V0.8O4,4,Li12.8Ge0.8V3.2O16.0,1.9e-05,,,Pnma,62,10.8685,6.2984,5.1017,90.0,90.0,90.0,LISICON,10.1021/acs.chemmater.8b01504,1,D1- 541,not available,,,,,,,,452.0,train,1.9e-05,False,,1.9e-05,1.9e-05,1.9e-05,-4.721246399047171,-4.721246399047171,-4.721246399047171
eij,Li3.4Ge0.4P0.6O4,4,Li13.6Ge1.6P2.4O16.0,4.5e-06,,,Pnma,62,10.6305,6.1639,5.0266,90.0,90.0,90.0,LISICON,10.1021/acs.chemmater.8b01504,1,D1- 541,not available,,,,,,,,451.0,train,4.5e-06,False,,4.5e-06,4.5e-06,4.5e-06,-5.346787486224656,-5.346787486224656,-5.346787486224656
ldd,Li3.4Ge0.4V0.6O4,4,Li13.6Ge1.6V2.4O16.0,8.89e-07,,,Pnma,62,10.8697,6.2784,5.1181,90.0,90.0,90.0,LISICON,10.1021/acs.chemmater.8b01504,1,D1- 541,not available,,,,,,,,455.0,train,8.89e-07,False,,8.89e-07,8.89e-07,8.89e-07,-6.051098239029787,-6.051098239029787,-6.051098239029787
efb,Li3.6Ge0.6P0.4O4,4,Li14.4Ge2.4P1.6O16.0,1.1e-05,,,Pnma,62,10.7284,6.1866,5.0882,90.0,90.0,90.0,LISICON,10.1021/acs.chemmater.8b01504,1,D1- 541,not available,,,,,,,,450.0,train,1.1e-05,False,,1.1e-05,1.1e-05,1.1e-05,-4.958607314841775,-4.958607314841775,-4.958607314841775
lcm,Li3.6Ge0.6V0.4O4,4,Li14.4Ge2.4V1.6O16.0,3.19e-05,,,Pnma,62,10.8786,6.26,5.1371,90.0,90.0,90.0,LISICON,10.1021/acs.chemmater.8b01504,1,D1- 541,not available,,,,,,,,453.0,train,3.19e-05,False,,3.19e-05,3.19e-05,3.19e-05,-4.496209316942819,-4.496209316942819,-4.496209316942819
mgs,Li3.8Ge0.8P0.2O4,4,Li15.2Ge3.2P0.8O16.0,1.03e-06,,,Pnma,62,10.8096,6.1767,5.1421,90.0,90.0,90.0,LISICON,10.1021/acs.chemmater.8b01504,1,D1- 541,not available,,,,,,,,444.0,train,1.03e-06,False,,1.03e-06,1.03e-06,1.03e-06,-5.987162775294828,-5.987162775294828,-5.987162775294828
31s,Li3.8Ge0.8V0.2O4,4,Li15.2Ge3.2V0.8O16.0,2.71e-06,,,Pnma,62,10.8891,6.2315,5.1518,90.0,90.0,90.0,LISICON,10.1021/acs.chemmater.8b01504,1,D1- 541,not available,,,,,,,,454.0,train,2.71e-06,False,,2.71e-06,2.71e-06,2.71e-06,-5.567030709125595,-5.567030709125595,-5.567030709125595
dku,Li3P0.4V0.6O4,4,Li12.0P1.6V2.4O16.0,3.55e-13,,,Pnma,62,10.7651,6.2647,4.9262,90.0,90.0,90.0,LISICON,10.1021/acs.chemmater.8b01504,1,D1- 541,not available,,,,,,,,448.0,train,3.55e-13,False,,3.55e-13,3.55e-13,3.55e-13,-12.449771646944907,-12.449771646944907,-12.449771646944907
ndx,Li3P0.6V0.4O4,4,Li12.0P2.4V1.6O16.0,3.2e-13,,,Pnma,62,10.6467,6.2052,4.9763,90.0,90.0,90.0,LISICON,10.1021/acs.chemmater.8b01504,1,D1- 541,not available,,,,,,,,456.0,train,3.2e-13,False,,3.2e-13,3.2e-13,3.2e-13,-12.494850021680094,-12.494850021680094,-12.494850021680094
m0j,Li3P0.8V0.2O4,4,Li12.0P3.2V0.8O16.0,2.05e-13,,,Pnma,62,10.554,6.1486,4.9492,90.0,90.0,90.0,LISICON,10.1021/acs.chemmater.8b01504,1,D1- 541,not available,,,,,,,,458.0,train,2.05e-13,False,,2.05e-13,2.05e-13,2.05e-13,-12.688246138944246,-12.688246138944246,-12.688246138944246
9lo,Li3PO4,4,Li12.0P4.0O16.0,1.75e-13,,,Pnma,62,10.4772,6.1179,4.9297,90.0,90.0,90.0,LISICON,10.1021/acs.chemmater.8b01504,1,D1- 541,done,refer 79427-ICSD,,,Yes,ICSD-77095,77095.0,,445.0,train,1.75e-13,False,,1.75e-13,1.75e-13,1.75e-13,-12.756961951313706,-12.756961951313706,-12.756961951313706
dth,Li4GeO4,4,Li16.0Ge4.0O16.0,1.3e-12,,,Cmcm,63,7.7661,7.3645,6.0555,90.0,90.0,90.0,LISICON,10.1021/acs.chemmater.8b01504,1,D1- 541,done,,,,Yes,10.1002/zaac.19875551213,65177.0,,457.0,train,1.3e-12,False,,1.3e-12,1.3e-12,1.3e-12,-11.886056647693163,-11.886056647693163,-11.886056647693163
45e,Li2MgBr4,4,Li8.0Mg4.0Br16.0,7.8e-10,,,Cmmm ,65,7.771,11.04,7.735,90.0,90.0,90.0,halides,10.1002/chin.198639014|10.1149/1.2108704,1,D2 - 89,not available,refer 73276-ICSD,,,,,73276.0,89.0,,train,7.8e-10,False,,7.8e-10,7.8e-10,7.8e-10,-9.10790539730952,-9.10790539730952,-9.10790539730952
x2i,LiBiO2,8,Li8.0Bi8.0O16.0,3.8e-08,,,Ibam,72,18.00548,5.18159,4.97144,90.0,90.0,90.0,oxides,10.1016/j.ssi.2015.10.016,1,D2 - 30,done,46022-ICSD,,,Yes,ICSD-46022,46022.0,30.0,,train,3.8e-08,False,,3.8e-08,3.8e-08,3.8e-08,-7.42021640338319,-7.42021640338319,-7.42021640338319
xz4,(Li0.5Ce0.5)(MoO4),4,Li2.0Ce2.0Mo4.0O16.0,1.3e-08,,,I41/a ,88,5.2943,5.2943,11.6254,90.0,90.0,90.0,molybdates,10.1007/s12039-011-0068-5,1,D2 - 91,done,186450-ICSD,,partial occupancy corrected,,,186450.0,91.0,,train,1.3e-08,False,,1.3e-08,1.3e-08,1.3e-08,-7.886056647693163,-7.886056647693163,-7.886056647693163
hja,(Li0.5Ce0.25Pr0.25)(MoO4),4,Li2.0Ce1.0Pr1.0Mo4.0O16.0,1e-09,,,I41/a ,88,5.284,5.284,11.5763,90.0,90.0,90.0,molybdates,10.1007/s12039-011-0068-5,1,D2 - 91,done,186451-ICSD,,partial occupancy corrected,,,186451.0,91.0,,train,1e-09,False,,1e-09,1e-09,1e-09,-9.0,-9.0,-9.0
3nb,(Li0.5Ce0.25Sm0.25)(MoO4),4,Li2.0Ce1.0Sm1.0Mo4.0O16.0,1.8e-10,,,I41/a ,88,5.2546,5.2546,11.5052,90.0,90.0,90.0,molybdates,10.1007/s12039-011-0068-5,1,D2 - 91,done,186452-ICSD,,partial occupancy corrected,,,186452.0,91.0,,train,1.8e-10,False,,1.8e-10,1.8e-10,1.8e-10,-9.744727494896694,-9.744727494896694,-9.744727494896694
qa9,Li3BN2,2,Li6.0B2.0N4.0,1.6e-10,,,P42/mnm,136,4.6435,4.6435,5.2592,90.0,90.0,90.0,boron nitride,10.1016/0022-4596(87)90135-6,1,D2 - 93,done,655673-ICSD,Li3BN2_II.cif,changed space group to reflect actual higher symmetry,,,655673.0,93.0,,train,1.6e-10,False,,1.6e-10,1.6e-10,1.6e-10,-9.795880017344075,-9.795880017344075,-9.795880017344075
ihb,Li0.33La0.56Ti0.99Al0.01O2.99F0.01,2,Li0.66La1.12Ti1.98Al0.02O5.98F0.02,0.00098,,,P4mm ,99,3.8701,3.8701,7.756,90.0,90.0,90.0,perovskites,10.1007/s11581-006-0011-9,1,D1 - 83,not available,,,,,,,,83.0,train,0.00098,False,,0.00098,0.00098,0.00098,-3.0087739243075053,-3.0087739243075053,-3.0087739243075053
3k7,Li0.33La0.56Ti0.98Al0.02O2.98F0.02,2,Li0.66La1.12Ti1.96Al0.04O5.96F0.04,0.00106,,,P4mm ,99,3.8697,3.8697,7.749,90.0,90.0,90.0,perovskites,10.1007/s11581-006-0011-9,1,D1 - 83,not available,,,,,,,,83.0,train,0.00106,False,,0.00106,0.00106,0.00106,-2.9746941347352296,-2.9746941347352296,-2.9746941347352296
1sz,Li0.33La0.56Ti0.97Al0.03O2.97F0.03,2,Li0.66La1.12Ti1.94Al0.06O5.94F0.06,0.000928,,,P4mm ,99,3.8692,3.8692,7.7434,90.0,90.0,90.0,perovskites,10.1007/s11581-006-0011-9,1,D1 - 83,not available,,,,,,,,83.0,train,0.000928,False,,0.000928,0.000928,0.000928,-3.032452023781138,-3.032452023781138,-3.032452023781138
yh8,Li0.33La0.56Ti0.96Al0.04O2.96F0.04,2,Li0.66La1.12Ti1.92Al0.08O5.92F0.08,0.000622,,,P4mm ,99,3.8697,3.8697,7.744,90.0,90.0,90.0,perovskites,10.1007/s11581-006-0011-9,1,D1 - 83,not available,,,,,,,,63.0,train,0.000622,False,,0.000622,0.000622,0.000622,-3.2062096153091812,-3.2062096153091812,-3.2062096153091812
coh,Li0.33La0.56Ti0.95Al0.05O2.95F0.05,2,Li0.66La1.12Ti1.9Al0.1O5.9F0.1,0.000176,,,P4mm ,99,3.8667,3.8667,7.739,90.0,90.0,90.0,perovskites,10.1007/s11581-006-0011-9,1,D1 - 83,not available,,,,,,,,83.0,train,0.000176,False,,0.000176,0.000176,0.000176,-3.75448733218585,-3.75448733218585,-3.75448733218585
1pw,Li0.33La0.56Ti0.94Al0.06O2.94F0.06,2,Li0.66La1.12Ti1.88Al0.12O5.88F0.12,0.000106,,,P4mm ,99,3.8722,3.8722,7.73,90.0,90.0,90.0,perovskites,10.1007/s11581-006-0011-9,1,D1 - 83,not available,,,,,,,,83.0,train,0.000106,False,,0.000106,0.000106,0.000106,-3.9746941347352296,-3.9746941347352296,-3.9746941347352296
bw3,Li0.33La0.56Ti0.93Al0.07O2.93F0.07,2,Li0.66La1.12Ti1.86Al0.14O5.86F0.14,0.000645,,,P4mm ,99,3.8705,3.8705,7.7476,90.0,90.0,90.0,perovskites,10.1007/s11581-006-0011-9,1,D1 - 83,not available,,,,,,,,83.0,train,0.000645,False,,0.000645,0.000645,0.000645,-3.1904402853647325,-3.1904402853647325,-3.1904402853647325
my5,Li0.33La0.56Ti0.92Al0.08O2.92F0.08,2,Li0.66La1.12Ti1.84Al0.16O5.84F0.16,0.000494,,,P4mm ,99,3.8695,3.8695,7.7437,90.0,90.0,90.0,perovskites,10.1007/s11581-006-0011-9,1,D1 - 83,not available,,,,,,,,83.0,train,0.000494,False,,0.000494,0.000494,0.000494,-3.306273051076353,-3.306273051076353,-3.306273051076353
hta,La0.565Li0.305TiO3,2,La1.13Li0.61Ti2.0O6.0,0.000957,,,P4/mmm,123,3.8727,3.8727,7.751,90.0,90.0,90.0,perovskites,10.1016/s0167-2738(00)00761-x,1,D2 - 59,done,92235-ICSD,,,,,92235.0,59.0,,train,0.000957,False,,0.000957,0.000957,0.000957,-3.0190880622231564,-3.0190880622231564,-3.0190880622231564
s3h,La0.5Li0.5TiO3,2,La1.0Li1.0Ti2.0O6.0,0.000925,,,P4/mmm,123,3.8688,3.86885,7.7462,90.0,90.0,90.0,perovskites,10.1016/s0167-2738(00)00761-x,1,D2 - 59,done,92237-ICSD,,,,,92237.0,59.0,,train,0.000925,False,,0.000925,0.000925,0.000925,-3.0338582672609675,-3.0338582672609675,-3.0338582672609675
nua,Li(LaTiO4),2,Li2.0La2.0Ti2.0O8.0,<1E-10,,,P4/nmm ,129,3.77,3.77,12.076,90.0,90.0,90.0,perovskites,10.4028/www.scientific.net/msf.321-324.965,1,D2 - 99,done,91843-ICSD,,,,,91843.0,99.0,,train,1e-10,True,<,1e-10,5e-11,,-10.0,-10.301029995663981,
3rx,Li(NdTiO4),2,Li2.0Nd2.0Ti2.0O8.0,<1E-10,,,P4/nmm ,129,3.7465,3.7465,11.895,90.0,90.0,90.0,perovskites,10.4028/www.scientific.net/msf.321-324.965,1,D2 - 99,done,91844-ICSD,,,,,91844.0,99.0,,train,1e-10,True,<,1e-10,5e-11,,-10.0,-10.301029995663981,
7e5,La0.65Li0.05(Mg0.5W0.5)O3,4,La2.6Li0.2Mg2.0W2.0O12.0,1.8e-07,,,P4/nmm ,129,5.533,5.533,7.903,90.0,90.0,90.0,perovskites,10.1016/j.ssi.2004.05.010,1,D2 - 100,done,151900-ICSD,,partial occupancy corrected,,,151900.0,100.0,,train,1.8e-07,False,,1.8e-07,1.8e-07,1.8e-07,-6.7447274948966935,-6.7447274948966935,-6.7447274948966935
sib,La0.63Li0.11(Mg0.5W0.5)O3,4,La2.52Li0.44Mg2.0W2.0O12.0,6.8e-06,,,P4/nmm ,129,5.534,5.534,7.903,90.0,90.0,90.0,perovskites,10.1016/j.ssi.2004.05.010,1,D2 - 100,done,151901-ICSD,,partial occupancy corrected,,,151901.0,100.0,,train,6.8e-06,False,,6.8e-06,6.8e-06,6.8e-06,-5.167491087293763,-5.167491087293763,-5.167491087293763
r99,La0.62 Li0.14(Mg0.5W0.5)O3,4,La2.48Li0.56Mg2.0W2.0O12.0,1.2e-05,,,P4/nmm ,129,5.533,5.533,7.903,90.0,90.0,90.0,perovskites,10.1016/j.ssi.2004.05.010,1,D2 - 100,done,151902-ICSD,,partial occupancy corrected,,,151902.0,100.0,,train,1.2e-05,False,,1.2e-05,1.2e-05,1.2e-05,-4.920818753952375,-4.920818753952375,-4.920818753952375
lol,Li4PS4I,2,Li8.0P2.0S8.0I2.0,0.00012,,,P4/nmm ,129,8.48284,8.48284,5.93013,90.0,90.0,90.0,thio-LISICON,10.1021/acs.chemmater.7b00013,1,D2 - 101,done,,,appendix: diffraction data available,,,432169.0,101.0,,train,0.00012,False,,0.00012,0.00012,0.00012,-3.9208187539523753,-3.9208187539523753,-3.9208187539523753
d7f,Li3BiO4,4,Li12.0Bi4.0O16.0,4.1e-10,,,P42/mnm,136,8.75298,8.75298,4.22469,90.0,90.0,90.0,oxides,10.1016/j.ssi.2015.10.016,1,D2 - 30,done,,,,Yes,ICSD-109087,109087.0,30.0,,train,4.1e-10,False,,4.1e-10,4.1e-10,4.1e-10,-9.387216143280265,-9.387216143280265,-9.387216143280265
52b,Li10.05Ge1.05P1.95S12,2,Li20.1Ge2.1P3.9S24.0,0.0122,,,P42/nmc ,137,8.6944,8.6944,12.60025,90.0,90.0,90.0,LGPS,10.1039/c4ta05231e,1,D2 - 104,not available,,,,,,,104.0,,train,0.0122,False,,0.0122,0.0122,0.0122,-1.9136401693252518,-1.9136401693252518,-1.9136401693252518
8po,Li10.2Ge1.2P1.8S12,2,Li20.4Ge2.4P3.6S24.0,0.0132,,,P42/nmc ,137,8.7043,8.7043,12.616,90.0,90.0,90.0,LGPS,10.1039/c4ta05231e,1,D2 - 104,not available,,,,,,,104.0,,train,0.0132,False,,0.0132,0.0132,0.0132,-1.8794260687941502,-1.8794260687941502,-1.8794260687941502
ya8,Li10.5Ge1.5P1.5S12,2,Li21.0Ge3.0P3.0S24.0,0.011,,,P42/nmc ,137,8.7025,8.7025,12.6251,90.0,90.0,90.0,LGPS,10.1039/c4ta05231e,1,D2 - 104,not available,,,,,,,104.0,,train,0.011,False,,0.011,0.011,0.011,-1.958607314841775,-1.958607314841775,-1.958607314841775
j8q,Li10GeP2S12,2,Li20.0Ge2.0P4.0S24.0,0.0121,,,P42/nmc ,137,8.719,8.719,12.639,90.0,90.0,90.0,LGPS,10.1039/c4ta05231e|10.1021/acs.chemmater.7b00886,1,D2 - 104,done,,,,Yes,10.1039/c3cp51985f,188887.0,111.0,,train,0.0121,False,,0.0121,0.0121,0.0121,-1.91721462968355,-1.91721462968355,-1.91721462968355
824,Li10.35Ge1.35P1.65S12,2,Li20.7Ge2.7P3.3S24.0,0.0144,,,P42/nmc ,137,8.713023,8.713023,12.639695,90.0,90.0,90.0,LGPS,10.1039/c4ta05231e,1,D2 - 104,done,193947-ICSD,,,,,193947.0,104.0,,train,0.0144,False,,0.0144,0.0144,0.0144,-1.8416375079047504,-1.8416375079047504,-1.8416375079047504
mqo,Li3.45Si0.45P0.55S4,6,Li20.7Si2.7P3.3S24.0,0.00673,,,P42/nmc ,137,8.669578,8.669578,12.536058,90.0,90.0,90.0,LGPS,10.1039/c4fd00143e,1,D2 - 105,not available,,,refer D2 - 109; 252037-ICSD,,,,105.0,,train,0.00673,False,,0.00673,0.00673,0.00673,-2.171984935776023,-2.171984935776023,-2.171984935776023
izs,Li3.475Si0.475P0.525S4,6,Li20.85Si2.85P3.15S24.0,0.00527,,,P42/nmc ,137,8.672,8.672,12.536,90.0,90.0,90.0,LGPS,10.1039/c4fd00143e,1,D2 - 105,not available,,,,,,,105.0,,train,0.00527,False,,0.00527,0.00527,0.00527,-2.2781893847874533,-2.2781893847874533,-2.2781893847874533
8nc,Li3.425Si0.425P0.575S4,6,Li20.55Si2.55P3.45S24.0,0.00565,,,P42/nmc ,137,8.653,8.653,12.51,90.0,90.0,90.0,LGPS,10.1039/c4fd00143e,1,D2 - 105,not available,,,,,,,105.0,,train,0.00565,False,,0.00565,0.00565,0.00565,-2.2479515521805613,-2.2479515521805613,-2.2479515521805613
3sx,Li3.4Si0.4P0.6S4,6,Li20.4Si2.4P3.6S24.0,0.00421,,,P42/nmc ,137,8.644,8.644,12.504,90.0,90.0,90.0,LGPS,10.1039/c4fd00143e,1,D2 - 105,not available,,,,,,,105.0,,train,0.00421,False,,0.00421,0.00421,0.00421,-2.3757179041643317,-2.3757179041643317,-2.3757179041643317
xga,Li3.335Sn0.33P0.67S4,6,Li20.01Sn1.98P4.02S24.0,0.00373,,,P42/nmc ,137,8.743,8.743,12.782,90.0,90.0,90.0,LGPS,10.1039/c4fd00143e,1,D2 - 105,not available,,,,,,,105.0,,train,0.00373,False,,0.00373,0.00373,0.00373,-2.4282911681913126,-2.4282911681913126,-2.4282911681913126
xn9,Li3.3Sn0.3P0.7S4,6,Li19.8Sn1.8P4.2S24.0,0.00365,,,P42/nmc ,137,8.731,8.731,12.768,90.0,90.0,90.0,LGPS,10.1039/c4fd00143e,1,D2 - 105,not available,,,,,,,105.0,,train,0.00365,False,,0.00365,0.00365,0.00365,-2.4377071355435254,-2.4377071355435254,-2.4377071355435254
sg4,Li3.285Sn0.28P0.72S4,6,Li19.71Sn1.68P4.32S24.0,0.00436,,,P42/nmc ,137,8.721,8.721,12.725,90.0,90.0,90.0,LGPS,10.1039/c4fd00143e,1,D2 - 105,not available,,,,,,,105.0,,train,0.00436,False,,0.00436,0.00436,0.00436,-2.360513510731414,-2.360513510731414,-2.360513510731414
ns3,Li3.27Sn0.27P0.73S4,6,Li19.62Sn1.62P4.38S24.0,0.00496,,,P42/nmc ,137,8.7405,8.7405,12.715,90.0,90.0,90.0,LGPS,10.1039/c4fd00143e,1,D2 - 105,not available,,,,,,,105.0,,train,0.00496,False,,0.00496,0.00496,0.00496,-2.3045183235098023,-2.3045183235098023,-2.3045183235098023
g8j,Li3.26Sn0.26P0.74S4,6,Li19.56Sn1.56P4.44S24.0,0.00453,,,P42/nmc ,137,8.737,8.737,12.713,90.0,90.0,90.0,LGPS,10.1039/c4fd00143e,1,D2 - 105,not available,,,,,,,105.0,,train,0.00453,False,,0.00453,0.00453,0.00453,-2.343901797987168,-2.343901797987168,-2.343901797987168
bim,Li3.25Sn0.25P0.75S4,6,Li19.5Sn1.5P4.5S24.0,0.0036,,,P42/nmc ,137,8.722,8.722,12.72,90.0,90.0,90.0,LGPS,10.1039/c4fd00143e,1,D2 - 105,not available,,,,,,,105.0,,train,0.0036,False,,0.0036,0.0036,0.0036,-2.4436974992327127,-2.4436974992327127,-2.4436974992327127
02p,Li10SiP2S12,2,Li20.0Si2.0P4.0S24.0,0.0023,,,P42/nmc ,137,8.6512,8.6512,12.5095,90.0,90.0,90.0,LGPS,10.1149/2.0501412jes,1,D2 - 106,not available,,,,,,,106.0,686.0,train,0.0023,False,,0.0023,0.0023,0.0023,-2.638272163982407,-2.638272163982407,-2.638272163982407
9lx,Li10SnP2S12,2,Li20.0Sn2.0P4.0S24.0,0.007,,,P42/nmc ,137,8.7057,8.7057,12.7389,90.0,90.0,90.0,LGPS,10.1021/ja407393y,1,D2 - 107,done,193755-ICSD; appendix,,,,,193755.0,107.0,,train,0.007,False,,0.007,0.007,0.007,-2.154901959985743,-2.154901959985743,-2.154901959985743
mtn,Li10GeP2S12,2,Li20.0Ge2.0P4.0S24.0,0.0246,,,P42/nmc ,137,8.71121,8.71121,12.6078,90.0,90.0,90.0,LGPS,10.1021/acs.chemmater.8b00266,1,D2 - 108,done,appendix,,,,,,108.0,,train,0.0246,False,,0.0246,0.0246,0.0246,-1.609064892896621,-1.609064892896621,-1.609064892896621
9rc,Li10(Ge0.776Sn0.224)P2S12,2,Li20.0Ge1.55Sn0.45P4.0S24.0,0.0141,,,P42/nmc ,137,8.71859,8.71859,12.6514,90.0,90.0,90.0,LGPS,10.1021/acs.chemmater.8b00266,1,D2 - 108,done,appendix,,,,,,108.0,,train,0.0141,False,,0.0141,0.0141,0.0141,-1.85078088734462,-1.85078088734462,-1.85078088734462
13q,Li10SnP2S12,2,Li20.0Sn2.0P4.0S24.0,0.00398,,,P42/nmc ,137,8.73685,8.73685,12.7573,90.0,90.0,90.0,LGPS,10.1021/acs.chemmater.8b00266,1,D2 - 108,done,appendix,,lattice parameters not matching cif,,,,108.0,,train,0.00398,False,,0.00398,0.00398,0.00398,-2.4001169279263124,-2.4001169279263124,-2.4001169279263124
